tournament=1, best_loss=10.86, avg_loss=12.80, champion_idx=52, best_win_streak=1.0, record_holder_idx=0, env_step_runtime=1.97 seconds
tournament=2, best_loss=11.24, avg_loss=13.02, champion_idx=100, best_win_streak=2.0, record_holder_idx=1, env_step_runtime=1.89 seconds
tournament=3, best_loss=11.30, avg_loss=12.95, champion_idx=109, best_win_streak=3.0, record_holder_idx=1, env_step_runtime=1.78 seconds
tournament=4, best_loss=11.41, avg_loss=13.92, champion_idx=91, best_win_streak=4.0, record_holder_idx=1, env_step_runtime=1.76 seconds
tournament=5, best_loss=11.48, avg_loss=13.76, champion_idx=50, best_win_streak=5.0, record_holder_idx=1, env_step_runtime=1.92 seconds
tournament=6, best_loss=11.66, avg_loss=13.59, champion_idx=56, best_win_streak=6.0, record_holder_idx=109, env_step_runtime=1.88 seconds
tournament=7, best_loss=11.30, avg_loss=13.27, champion_idx=54, best_win_streak=7.0, record_holder_idx=109, env_step_runtime=1.91 seconds
tournament=8, best_loss=11.04, avg_loss=13.30, champion_idx=10, best_win_streak=7.0, record_holder_idx=2, env_step_runtime=1.93 seconds
tournament=9, best_loss=12.40, avg_loss=14.01, champion_idx=53, best_win_streak=8.0, record_holder_idx=2, env_step_runtime=2.05 seconds
tournament=10, best_loss=12.18, avg_loss=13.87, champion_idx=85, best_win_streak=8.0, record_holder_idx=9, env_step_runtime=1.90 seconds
tournament=11, best_loss=11.64, avg_loss=13.47, champion_idx=71, best_win_streak=9.0, record_holder_idx=9, env_step_runtime=2.02 seconds
tournament=12, best_loss=11.93, avg_loss=13.60, champion_idx=104, best_win_streak=10.0, record_holder_idx=23, env_step_runtime=1.87 seconds
tournament=13, best_loss=12.38, avg_loss=14.01, champion_idx=126, best_win_streak=10.0, record_holder_idx=34, env_step_runtime=2.07 seconds
tournament=14, best_loss=11.90, avg_loss=13.31, champion_idx=15, best_win_streak=11.0, record_holder_idx=54, env_step_runtime=2.01 seconds
tournament=15, best_loss=11.49, avg_loss=13.17, champion_idx=111, best_win_streak=12.0, record_holder_idx=54, env_step_runtime=1.93 seconds
tournament=16, best_loss=12.01, avg_loss=13.48, champion_idx=34, best_win_streak=13.0, record_holder_idx=54, env_step_runtime=1.87 seconds
tournament=17, best_loss=12.07, avg_loss=13.78, champion_idx=68, best_win_streak=14.0, record_holder_idx=54, env_step_runtime=1.86 seconds
tournament=18, best_loss=11.87, avg_loss=13.51, champion_idx=108, best_win_streak=15.0, record_holder_idx=54, env_step_runtime=2.04 seconds
tournament=19, best_loss=11.51, avg_loss=13.11, champion_idx=76, best_win_streak=16.0, record_holder_idx=54, env_step_runtime=1.89 seconds
tournament=20, best_loss=11.38, avg_loss=13.04, champion_idx=62, best_win_streak=17.0, record_holder_idx=54, env_step_runtime=1.85 seconds
tournament=21, best_loss=11.07, avg_loss=13.02, champion_idx=79, best_win_streak=16.0, record_holder_idx=58, env_step_runtime=1.76 seconds
tournament=22, best_loss=11.45, avg_loss=13.34, champion_idx=26, best_win_streak=17.0, record_holder_idx=58, env_step_runtime=1.89 seconds
tournament=23, best_loss=11.87, avg_loss=13.38, champion_idx=75, best_win_streak=18.0, record_holder_idx=58, env_step_runtime=1.84 seconds
tournament=24, best_loss=11.48, avg_loss=12.88, champion_idx=111, best_win_streak=18.0, record_holder_idx=64, env_step_runtime=1.85 seconds
tournament=25, best_loss=11.22, avg_loss=13.30, champion_idx=0, best_win_streak=18.0, record_holder_idx=12, env_step_runtime=1.77 seconds
tournament=26, best_loss=11.83, avg_loss=13.23, champion_idx=42, best_win_streak=19.0, record_holder_idx=18, env_step_runtime=1.79 seconds
tournament=27, best_loss=9.89, avg_loss=12.74, champion_idx=58, best_win_streak=19.0, record_holder_idx=6, env_step_runtime=1.78 seconds
tournament=28, best_loss=12.59, avg_loss=13.99, champion_idx=56, best_win_streak=19.0, record_holder_idx=3, env_step_runtime=1.85 seconds
